face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3083.789,417,66.75258,4352,15,2.308594,321.7422,84.53906,498.5391,6
3084.668,417,68.63753,4352,8,2.308594,321.7422,79.87109,503.207,6
3082.969,417,68.5422,4352,12,2.308594,321.7422,84.53125,498.5469,6
3084.727,417,65.29563,4352,9,2.308594,321.7422,82.01562,501.0625,6
3082.91,417,67.70026,4352,8,2.308594,321.7422,80.54297,502.5352,6
3084.668,417,67.78351,4352,9,2.308594,321.7422,80.83594,502.2422,6
3083.789,417,67.18346,4352,10,2.308594,321.7422,85.00391,498.0742,6
3083.789,417,69.13265,4352,14,2.308594,321.7422,80.77344,502.3047,6
3084.684,417,67.00508,4352,18,2.308594,321.7422,80.23047,502.8477,6
3084.668,417,67.26804,4352,6,2.308594,321.7422,84.08203,498.9961,6
3083.789,417,62.43523,4352,13,2.308594,321.7422,81.89844,501.1797,6
3083.789,417,66.92112,4352,11,2.308594,321.7422,77.88281,505.1953,6
3082.031,417,68.43434,4352,6,2.308594,321.7422,88.69531,494.3828,6
3083.789,417,66.49351,4352,11,2.308594,321.7422,85.49609,497.582,6
3083.805,417,67.09184,4352,8,2.308594,321.7422,80.71094,502.3672,6
3082.969,417,67.4359,4320,13,2.316406,321.7422,81.53906,501.5312,6
3083.848,417,68.03069,4352,14,2.316406,321.7422,81.00391,502.0664,6
3082.969,418,67.51918,4352,13,2.316406,321.7422,82.01953,501.0508,6
3083.848,418,68.43434,4352,9,2.316406,321.7422,86.44531,496.625,6
3084.668,418,67.26804,4352,11,2.316406,321.7422,82.25391,500.8164,6
3083.789,418,67.5,4352,9,2.316406,321.7422,83.65234,499.418,6
3083.789,419,65.82278,4352,13,2.316406,321.7422,83.76562,499.3047,6
3083.848,419,65.64885,4352,11,2.316406,321.7422,87.33594,495.7344,6
3083.848,419,65.5,4352,12,2.316406,321.7422,84.92188,498.1484,6
3082.969,419,64.19437,4352,8,2.316406,321.7422,84.12109,498.9492,6
3083.848,419,61.36364,4352,6,2.316406,321.7422,82.08594,500.9844,6
3083.848,419,61.96474,4352,14,2.316406,321.7422,83.92969,499.1406,6
3083.848,419,56.56566,4352,11,2.316406,321.7422,80.73047,502.3398,6
3083.848,419,55.77889,4352,12,2.316406,321.7422,80.97656,502.0938,6
3083.848,419,63.0491,4352,11,2.316406,321.7422,85.07812,497.9922,6
3083.848,419,67.09512,4352,11,2.316406,321.7422,79.59375,503.4766,6
3084.668,419,66.83938,4352,11,2.316406,321.7422,81.74219,501.3281,6
3083.789,419,67.01299,4352,7,2.316406,321.7422,80.74609,502.3242,6
3084.668,419,66.49485,4352,9,2.316406,321.7422,81.75,501.3203,6
